Vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
dg,140,1000,16000,16,1,3,138,72
dg,200,1000,8000,0,1,2,36,36
dg,110,1000,4000,16,1,2,26,30
dg,110,1000,12000,16,1,2,60,56
dg,220,1000,8000,16,1,2,71,42
formation,800,256,8000,0,1,4,12,34
formation,800,256,8000,0,1,4,14,34
formation,800,256,8000,0,1,4,20,34
formation,800,256,8000,0,1,4,16,34
formation,800,256,8000,0,1,4,22,34
four-phase,125,512,1000,0,8,20,36,19
gould,75,2000,8000,64,1,38,144,75
gould,75,2000,16000,64,1,38,144,113
gould,75,2000,16000,128,1,38,259,157
hp,90,256,1000,0,3,10,17,18
hp,105,256,2000,0,3,10,26,20
hp,105,1000,4000,0,3,24,32,28
hp,105,2000,4000,8,3,19,32,33
hp,75,2000,8000,8,3,24,62,47
hp,75,3000,8000,8,3,48,64,54
hp,175,256,2000,0,3,24,22,20
harris,300,768,3000,0,6,24,36,23
harris,300,768,3000,6,6,24,44,25
harris,300,768,12000,6,6,24,50,52
harris,300,768,4500,0,1,24,45,27
harris,300,384,12000,6,1,24,53,50
harris,300,192,768,6,6,24,36,18
harris,180,768,12000,6,1,31,84,53
honeywell,330,1000,3000,0,2,4,16,23
honeywell,300,1000,4000,8,3,64,38,30
honeywell,300,1000,16000,8,2,112,38,73
honeywell,330,1000,2000,0,1,2,16,20
honeywell,330,1000,4000,0,3,6,22,25
honeywell,140,2000,4000,0,3,6,29,28
honeywell,140,2000,4000,0,4,8,40,29
honeywell,140,2000,4000,8,1,20,35,32
honeywell,140,2000,32000,32,1,20,134,175
honeywell,140,2000,8000,32,1,54,66,57
honeywell,140,2000,32000,32,1,54,141,181
honeywell,140,2000,32000,32,1,54,189,181
honeywell,140,2000,4000,8,1,20,22,32
ibm,57,4000,16000,1,6,12,132,82
ibm,57,4000,24000,64,12,16,237,171
ibm,26,16000,32000,64,16,24,465,361
ibm,26,16000,32000,64,8,24,465,350
ibm,26,8000,32000,0,8,24,277,220
ibm,26,8000,16000,0,8,16,185,113
ibm,480,96,512,0,1,1,6,15
ibm,203,1000,2000,0,1,5,24,21
ibm,115,512,6000,16,1,6,45,35
ibm,1100,512,1500,0,1,1,7,18
ibm,1100,768,2000,0,1,1,13,20
ibm,600,768,2000,0,1,1,16,20
ibm,400,2000,4000,0,1,1,32,28
ibm,400,4000,8000,0,1,1,32,45
ibm,900,1000,1000,0,1,2,11,18
ibm,900,512,1000,0,1,2,11,17
ibm,900,1000,4000,4,1,2,18,26
ibm,900,1000,4000,8,1,2,22,28
ibm,900,2000,4000,0,3,6,37,28
ibm,225,2000,4000,8,3,6,40,31
ibm,225,2000,4000,8,3,6,34,31
ibm,180,2000,8000,8,1,6,50,42
ibm,185,2000,16000,16,1,6,76,76
ibm,180,2000,16000,16,1,6,66,76
ibm,225,1000,4000,2,3,6,24,26
ibm,25,2000,12000,8,1,4,49,59
ibm,25,2000,12000,16,3,5,66,65
ibm,17,4000,16000,8,6,12,100,101
ibm,17,4000,16000,32,6,12,133,116
ibm,1500,768,1000,0,0,0,12,18
ibm,1500,768,2000,0,0,0,18,20
ibm,800,768,2000,0,0,0,20,20
ipl,50,2000,4000,0,3,6,27,30
ipl,50,2000,8000,8,3,6,45,44
ipl,50,2000,8000,8,1,6,56,44
ipl,50,2000,16000,24,1,6,70,82
ipl,50,2000,16000,24,1,6,80,82
ipl,50,8000,16000,48,1,10,136,128
magnuson,100,1000,8000,0,2,6,16,37
magnuson,100,1000,8000,24,2,6,26,46
magnuson,100,1000,8000,24,3,6,32,46
magnuson,50,2000,16000,12,3,16,45,80
magnuson,50,2000,16000,24,6,16,54,88
magnuson,50,2000,16000,24,6,16,65,88
microdata,150,512,4000,0,8,128,30,33
nas,115,2000,8000,16,1,3,50,46
nas,115,2000,4000,2,1,5,40,29
nas,92,2000,8000,32,1,6,62,53
nas,92,2000,8000,32,1,6,60,53
nas,92,2000,8000,4,1,6,50,41
nas,75,4000,16000,16,1,6,66,86
nas,60,4000,16000,32,1,6,86,95
nas,60,2000,16000,64,5,8,74,107
nas,60,4000,16000,64,5,8,93,117
nas,50,4000,16000,64,5,10,111,119
nas,72,4000,16000,64,8,16,143,120
nas,72,2000,8000,16,6,8,105,48
nas,40,8000,16000,32,8,16,214,126
nas,40,8000,32000,64,8,24,277,266
nas,35,8000,32000,64,8,24,370,270
nas,38,16000,32000,128,16,32,510,426
nas,48,4000,24000,32,8,24,214,151
nas,38,8000,32000,64,8,24,326,267
nas,30,16000,32000,256,16,24,510,603
ncr,112,1000,1000,0,1,4,8,19
ncr,84,1000,2000,0,1,6,12,21
ncr,56,1000,4000,0,1,6,17,26
ncr,56,2000,6000,0,1,8,21,35
ncr,56,2000,8000,0,1,8,24,41
ncr,56,4000,8000,0,1,8,34,47
ncr,56,4000,12000,0,1,8,42,62
ncr,56,4000,16000,0,1,8,46,78
ncr,38,4000,8000,32,16,32,51,80
ncr,38,4000,8000,32,16,32,116,80
ncr,38,8000,16000,64,4,8,100,142
ncr,38,8000,24000,160,4,8,140,281
ncr,38,4000,16000,128,16,32,212,190
nixdorf,200,1000,2000,0,1,2,25,21
nixdorf,200,1000,4000,0,1,4,30,25
nixdorf,200,2000,8000,64,1,5,41,67
perkin-elmer,250,512,4000,0,1,7,25,24
perkin-elmer,250,512,4000,0,4,7,50,24
perkin-elmer,250,1000,16000,1,1,8,50,64
prime,160,512,4000,2,1,5,30,25
prime,160,512,2000,2,3,8,32,20
prime,160,1000,4000,8,1,14,38,29
prime,160,1000,8000,16,1,14,60,43
prime,160,2000,8000,32,1,13,109,53
siemens,240,512,1000,8,1,3,6,19
siemens,240,512,2000,8,1,5,11,22
siemens,105,2000,4000,8,3,8,22,31
siemens,105,2000,6000,16,6,16,33,41
siemens,105,2000,8000,16,4,14,58,47
siemens,52,4000,16000,32,4,12,130,99
siemens,70,4000,12000,8,6,8,75,67
siemens,59,4000,12000,32,6,12,113,81
siemens,59,8000,16000,64,12,24,188,149
siemens,26,8000,24000,32,8,16,173,183
siemens,26,8000,32000,64,12,16,248,275
siemens,26,8000,32000,128,24,32,405,382
sperry,116,2000,8000,32,5,28,70,56
sperry,50,2000,32000,24,6,26,114,182
sperry,50,2000,32000,48,26,52,208,227
sperry,50,2000,32000,112,52,104,307,341
sperry,50,4000,32000,112,52,104,397,360
sperry,30,8000,64000,96,12,176,915,919
sperry,30,8000,64000,128,12,176,1150,978
sperry,180,262,4000,0,1,3,12,24
sperry,180,512,4000,0,1,3,14,24
sperry,180,262,4000,0,1,3,18,24
sperry,180,512,4000,0,1,3,21,24
sperry,124,1000,8000,0,1,8,42,37
sperry,98,1000,8000,32,2,8,46,50
sratus,125,2000,8000,0,2,14,52,41
wang,480,512,8000,32,0,0,67,47
wang,480,1000,4000,0,0,0,45,25
