tpsa,nbasic,vsa_hyd,a_aro,weight,peoe_vsa.0,peoe_vsa.1,peoe_vsa.2,peoe_vsa.3,peoe_vsa.4,peoe_vsa.5,peoe_vsa.6,peoe_vsa.0.1,peoe_vsa.1.1,peoe_vsa.2.1,peoe_vsa.3.1,peoe_vsa.4.1,peoe_vsa.5.1,peoe_vsa.6.1,a_acc,a_acid,a_base,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_other,vsa_pol,slogp_vsa0,slogp_vsa1,slogp_vsa2,slogp_vsa3,slogp_vsa4,slogp_vsa5,slogp_vsa6,slogp_vsa7,slogp_vsa8,slogp_vsa9,smr_vsa0,smr_vsa1,smr_vsa2,smr_vsa3,smr_vsa4,smr_vsa5,smr_vsa6,smr_vsa7,tpsa.1,logp.o.w.,frac.anion7.,frac.cation7.,andrewbind,rotatablebonds,mlogp,clogp,mw,nocount,hbdnr,rule.of.5violations,alert,prx,ub,pol,inthb,adistm,adistd,polar_area,nonpolar_area,psa_npsa,tcsa,tcpa,tcnp,ovality,surface_area,volume,most_negative_charge,most_positive_charge,sum_absolute_charge,dipole_moment,homo,lumo,hardness,ppsa1,ppsa2,ppsa3,pnsa1,pnsa2,pnsa3,fpsa1,fpsa2,fpsa3,fnsa1,fnsa2,fnsa3,wpsa1,wpsa2,wpsa3,wnsa1,wnsa2,wnsa3,dpsa1,dpsa2,dpsa3,rpcg,rncg,wpcs,wncs,sadh1,sadh2,sadh3,chdh1,chdh2,chdh3,scdh1,scdh2,scdh3,saaa1,saaa2,saaa3,chaa1,chaa2,chaa3,scaa1,scaa2,scaa3,ctdh,ctaa,mchg,achg,rdta,n_sp2,n_sp3,o_sp2,o_sp3,logBBB
64.160004,0,280.438,9,412.509,149.2843,95.57485,17.47936,6.699551,0,24.14009,17.23803,41.91243,0,10.88526,0.136891,17.811,13.56692,0,2,0,3,24.45218,0,5.682576,5.682576,51.90007,0,19.90984,30.30762,32.98323,73.75832,2.756747,15.67644,4.410796,60.33873,113.2104,48.28613,53.50618,37.68102,9.121018,13.10987,7.409175,166.14,81.34502,33.32602,64.75,3.273,0,0.89,20.700001,4,3.53582,2.711024,410.495636,6,0,0,0,5,5.3,2,0,2746.165527,78.362198,94.007202,623.217224,0.1508,0.0119,0.0906,0.0137,1.2707,717.224426,1260.964478,-0.5454,0.473,8.5215,6.7321,-9.07,-0.5634,4.2533,482.730103,2056.781006,56.1437,234.494202,-999.115723,-42.820499,0.6731,2.8677,0.0783,0.3269,-1.393,-0.0597,346.2258,1475.173462,40.267601,168.184906,-716.590088,-30.711901,248.235901,3055.896729,98.964203,0.111,0.128,0.6629,1.8461,0,0,0,0,0,0,0,0,0,92.526398,18.505301,0.129,-1.6204,-0.3241,-0.0023,-25.283899,-5.0568,-0.0353,0,5,0,0,0,36.556702,5.568,24.264299,27.6182,0.98
26.790001,1,373.5283,12,411.614,88.09194,135.1378,52.7693,8.458519,0,0,17.23803,57.72093,75.27301,0,0,0,13.56692,0,1,0,2,13.56692,0,0,0,21.85762,0,9.372942,5.687611,0,110.6375,27.04779,35.99866,0,123.5023,56.60522,71.05905,30.11084,0,6.225782,3.185575,5.513495,180.1075,116.3251,98.44274,29.19,4.327,0,0.868,16.700001,7,3.7841,4.8027,409.598175,4,0,0,0,0,4.7,4,0,350.144409,12.4373,31.2593,699.21698,0.0447,0.0108,0.253,0.0113,1.264,730.476318,1306.354126,-0.5972,0.3224,7.9102,0.5139,-7.7622,-0.608,3.5771,559.337097,2212.221924,53.064999,171.139206,-676.868713,-27.910999,0.7657,3.0285,0.0726,0.2343,-0.9266,-0.0382,408.582489,1615.975708,38.762699,125.0131,-494.436493,-20.3883,388.197906,2889.090576,80.975899,0.0815,0.151,0.5327,0,0,0,0,0,0,0,0,0,0,31.2593,10.4198,0.0428,-1.2188,-0.4063,-0.0017,-12.0997,-4.0332,-0.0166,0,3,0,0,0,0,13.6002,17.6591,0,0.83
41.459999,0,185.2862,12,270.719,8.936826,56.05296,13.19232,8.619013,12.94953,0,0,36.76471,90.85647,0,0,0,19.2495,0.136891,2,0,0,19.2495,0,0,5.682576,26.34863,0,0,26.02628,23.86222,18.43958,6.37115,16.78553,3.500607,141.1455,0,41.90539,23.86222,16.78553,0,9.871757,20.7675,141.1455,26.45511,39.14864,41.46,2.912,0,0,2.3,1,3.11198,3.02076,270.720734,3,1,0,0,1,5.3,4,0,203.799194,18.6089,85.916496,410.538605,0.2093,0.0111,0.0642,0.0134,1.1659,496.455109,826.208374,-0.8081,0.4877,5.5137,3.0913,-9.5524,-0.7409,4.4058,233.356796,643.325012,40.397099,263.098389,-725.318115,-44.1287,0.47,1.2958,0.0814,0.53,-1.461,-0.0889,115.851196,319.381989,20.0553,130.616501,-360.087891,-21.9079,-29.7416,1368.643066,84.525803,0.1769,0.2931,1.0939,1.69,18.567801,18.567801,0.0374,0.434,0.434,9.00E-04,8.0589,8.0589,0.0162,61.583099,30.7915,0.124,-0.7607,-0.3803,-0.0015,-23.3262,-11.6631,-0.047,1,2,1.2421,1.2421,0.5,11.9628,5.7656,49.6203,0,0.61
83.720001,0,121.924,11,204.237,44.54677,12.79616,11.19056,37.0476,15.68157,0,0,70.98718,0,18.84208,0,5.682576,0,6.788011,3,0,0,24.52465,0,0,23.42507,38.0627,0,36.0215,50.11155,16.78553,0,0,65.79437,0,58.01422,0,4.227013,0,50.11155,19.90984,0,9.740508,85.39791,0,65.79437,83.72,0.391,0.007,0.006,-2.4,3,2.99758,0.686975,204.236191,6,3,0,0,12,3.6,2,0,649.794617,33.4249,173.518906,268.601105,0.646,0.0162,0.0412,0.0266,1.1542,442.119995,704.952515,-0.9909,0.464,7.147,1.5696,-8.4941,-0.0779,4.2081,310.746613,1110.44873,57.9478,131.373505,-469.461487,-55.9161,0.7029,2.5116,0.1311,0.2971,-1.0618,-0.1265,137.387299,490.951599,25.6199,58.082802,-207.558304,-24.7216,179.373093,1579.910156,113.863899,0.1298,0.2773,3.4369,7.4191,65.292198,21.764099,0.1477,1.3064,0.4355,0.003,28.816799,9.6056,0.0652,68.960098,22.9867,0.156,-0.8124,-0.2708,-0.0018,-16.217199,-5.4057,-0.0367,3,3,1.4549,1.2958,1,68.960098,39.266602,0,0,-1.17
83.849998,0,209.5308,11,357.232,129.1319,28.02648,8.619013,19.80958,0,6.699551,0,68.13466,0,0,19.76062,0,5.819467,17.10242,3,0,0,39.61362,0,0,11.36515,28.6177,0,0,41.8819,16.78553,86.60815,2.756747,3.055104,0,87.35827,0,100.4919,7.085616,16.78553,70.77564,2.756747,23.09542,104.5918,35.67314,78.17364,86.53,2.693,0,0.023,-0.8,7,3.09506,2.938,357.236023,6,2,0,0,6,3.6,3,1,2232.461426,76.213203,149.490402,425.384796,0.3514,0.0137,0.0527,0.0185,1.2172,574.875183,965.183289,-0.8575,0.8585,7.8807,7.4941,-8.8234,-0.7176,4.0529,260.315613,1025.739502,47.386002,314.559601,-1239.480713,-74.6269,0.4528,1.7843,0.0824,0.5472,-2.1561,-0.1298,149.649002,589.67218,27.240999,180.832504,-712.546692,-42.901199,-54.243999,2265.220215,122.012901,0.2179,0.2176,1.4809,1.4052,18.9317,9.4658,0.0329,0.8565,0.4283,0.0015,7.5165,3.7582,0.0131,115.151703,28.787901,0.2003,-0.4442,-0.111,-8.00E-04,-44.0825,-11.0206,-0.0767,2,4,1.3271,1.1014,0.5,25.6341,15.407,89.517601,0,-0.67
83.849998,0,179.4622,11,278.336,126.8797,32.29187,8.619013,19.80958,0,6.699551,0,24.50981,12.2549,0,19.76062,0,5.819467,17.10242,3,0,0,39.61362,0,0,11.36515,28.6177,0,0,41.8819,16.78553,86.60815,2.756747,0,0,105.0014,0,54.53777,7.085616,16.78553,67.72054,2.756747,23.09542,122.235,35.67314,32.21954,86.53,1.897,0,0.028,-2.1,7,2.42248,1.991,278.334991,6,2,0,0,6,3.6,2,1,2232.493164,76.213997,149.492004,404.548492,0.3695,0.0145,0.0536,0.0198,1.223,554.040527,906.614685,-0.8579,0.8586,8.0083,7.1325,-8.8308,-0.4626,4.1841,303.060211,1213.494629,52.047699,250.980301,-1004.960205,-77.631401,0.547,2.1903,0.0939,0.453,-1.8139,-0.1401,167.907593,672.325195,28.836599,139.053299,-556.788696,-43.010899,52.0798,2218.454834,129.679092,0.2144,0.2143,1.4574,1.3836,18.9317,9.4658,0.0342,0.8565,0.4283,0.0015,7.5165,3.7583,0.0136,115.153397,28.7883,0.2078,-0.4593,-0.1148,-8.00E-04,-44.370098,-11.0925,-0.0801,2,4,1.3275,1.1016,0.5,25.6357,15.407,89.517601,0,-0.66
83.849998,0,262.9218,17,368.461,131.8569,51.56195,8.619013,19.80958,0,0,6.699551,26.71835,73.52943,0,19.76062,0,5.819467,17.10242,3,0,0,39.61362,0,0,11.36515,28.6177,0,0,41.8819,16.78553,86.60815,9.127897,18.86841,0,175.5742,0,54.53777,7.085616,16.78553,67.72054,9.127897,23.09542,211.6762,35.67314,32.21954,86.53,3.942,0,0.045,1.5,9,3.93669,3.978,368.460846,6,2,0,0,6,5.3,2,1,1770.068848,99.360901,136.270798,552.896606,0.2465,0.0133,0.0673,0.0166,1.2746,689.167419,1182.155518,-0.8815,0.8035,9.1772,6.358,-8.719,-0.4666,4.1262,401.891602,1844.123291,58.5662,287.275696,-1318.195435,-73.530899,0.5832,2.6759,0.085,0.4168,-1.9127,-0.1067,276.970612,1270.90979,40.3619,197.981003,-908.457397,-50.675098,114.615898,3162.318848,132.097107,0.1751,0.1921,0,1.1004,23.983,11.9915,0.0348,0.8395,0.4198,0.0012,9.737,4.8685,0.0141,97.611504,24.402901,0.1416,-0.4333,-0.1083,-6.00E-04,-41.929699,-10.4824,-0.0608,2,4,1.337,1.0947,0.5,18.841101,14.6764,78.770302,0,-0.12
87.339996,1,314.9122,16,415.538,115.1109,125.3906,30.26986,19.80958,0,0,15.31856,26.71835,61.27452,0,19.76062,0,0.136891,19.60617,2,0,1,33.93105,0,0,11.36515,41.33894,0,3.124314,25.09637,16.78553,86.60815,17.26879,94.17013,0,140.7166,0,72.97735,19.71728,0,67.72054,17.26879,23.09542,195.2582,35.67314,98.01392,91.22,3.856,0,0.961,13.2,11,3.62804,4.485,414.530365,7,2,0,0,6,5.3,2,1,2980.362061,106.682098,133.520996,646.186584,0.2066,0.0126,0.0736,0.0152,1.3223,779.707581,1346.428589,-0.882,0.8033,9.826,6.0831,-8.7478,-0.2727,4.2376,476.293396,2340.030762,62.757198,303.414215,-1490.675537,-73.481697,0.6109,3.0012,0.0805,0.3891,-1.9118,-0.0942,371.369598,1824.539917,48.932301,236.574402,-1162.291138,-57.2943,172.879196,3830.706299,136.238907,0.1635,0.1795,0,1.0271,23.9646,11.9823,0.0307,0.8395,0.4198,0.0011,9.7286,4.8643,0.0125,94.885902,18.9772,0.1217,-0.6442,-0.1288,-8.00E-04,-40.229198,-8.0458,-0.0516,2,5,1.3375,1.0949,0.4,0,23.346901,78.773697,7.4357,-0.73
87.339996,1,221.2659,16,327.364,58.90247,123.1821,21.65084,28.42859,0,0,15.31856,49.01962,24.50981,0,0,0,0,19.74306,2,0,1,33.93105,0,0,11.36515,48.03849,0,3.124314,25.09637,16.78553,50.93501,5.448821,75.30172,0,149.351,0,26.28099,19.71728,0,67.72054,5.448821,34.48656,159.1562,0,65.79437,91.22,3.201,0,0.961,12.4,6,2.97562,4.019,326.358002,7,2,0,0,6,5.3,3,1,3035.184082,91.619499,140.515594,474.108093,0.2964,0.0133,0.058,0.0172,1.2403,614.623718,1037.328613,-0.6421,0.6692,8.1562,6.9036,-8.6218,-0.8707,3.8755,345.402588,1408.589233,51.355801,269.2211,-1097.91272,-70.429802,0.562,2.2918,0.0836,0.438,-1.7863,-0.1146,212.292694,865.75238,31.564501,165.469696,-674.803223,-43.287899,76.181602,2506.501953,121.785698,0.1641,0.1574,1.1699,0.9985,14.8394,7.4197,0.0241,0.8439,0.422,0.0014,6.0714,3.0357,0.0099,113.7342,22.746799,0.185,-0.7449,-0.149,-0.0012,-39.543499,-7.9087,-0.0643,2,5,1.093,0.9701,0.4,7.1296,20.609501,93.029701,4.9073,-0.27
87.089996,1,243.774,17,338.391,77.85693,125.6885,13.19232,28.42859,0,0,15.31856,49.01962,24.50981,0,0,0,5.682576,17.23931,3,0,1,39.61362,0,0,11.36515,35.31725,0,3.124314,41.8819,16.78553,50.93501,3.185575,65.79437,0,163.8733,0,26.28099,10.20993,16.78553,67.72054,3.185575,31.79449,176.3706,0,65.79437,90.97,3.373,0,0.81,13.2,6,3.2132,3.41404,337.38443,7,2,0,0,6,5.3,3,1,3450.486084,95.579697,147.735794,470.086914,0.3143,0.0144,0.0604,0.019,1.2314,617.822693,1056.682251,-0.6946,0.8447,8.9273,8.8368,-8.7077,-0.7529,3.9774,356.584412,1591.668945,53.344398,261.238312,-1166.076538,-75.540802,0.5772,2.5763,0.0863,0.4228,-1.8874,-0.1223,220.305893,983.369202,32.957401,161.399002,-720.428589,-46.670898,95.3461,2757.745605,128.885193,0.1892,0.1556,1.2926,1.0208,16.1306,8.0653,0.0261,0.8463,0.4231,0.0014,6.6754,3.3377,0.0108,119.297302,23.859501,0.1931,-0.8827,-0.1765,-0.0014,-45.925098,-9.185,-0.0743,2,5,1.1464,1.0117,0.4,21.4881,20.465599,89.651398,0,-0.28
41.57,1,313.184,12,353.486,60.26326,122.306,13.19232,8.619013,0,12.94953,8.619013,83.82487,61.27452,0,0,0,13.56692,2.640647,2,0,1,16.07068,0,0,5.682576,21.40805,0,32.13495,5.258784,0,76.245,30.23337,0,0,158.7887,75.47363,23.68301,26.98653,10.99989,18.01075,11.61458,0,252.7019,81.50378,0,42.77,4.279,0,0.986,13.2,8,3.22812,4.268,352.480652,4,1,0,0,1,4.7,2,0,843.062622,13.4243,61.043201,646.898315,0.0944,0.0115,0.1334,0.0126,1.2912,707.941528,1207.226807,-0.9643,0.5746,8.1421,1.0578,-9.1323,-0.1768,4.4777,504.688812,2054.607178,58.180801,203.252701,-827.449585,-41.974098,0.7129,2.9022,0.0822,0.2871,-1.1688,-0.0593,357.290192,1454.541748,41.188599,143.891006,-585.785889,-29.7152,301.436096,2882.056641,100.1549,0.1411,0.2369,1.1426,1.5103,3.8279,3.8279,0.0054,0.4436,0.4436,6.00E-04,1.6982,1.6982,0.0024,50.8396,16.946501,0.0718,-1.051,-0.3503,-0.0015,-18.0282,-6.0094,-0.0255,1,3,1.408,1.408,0.3333,0,9.4907,32.591202,15.1333,-0.24
