lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,pgout,ppgout,pgfree,pgscan,atch,pgin,ppgin,pflt,vflt,runqsz,freemem,freeswap,usr
1,0,1874,107,114,0.6,0.4,20679,184797,0,0,0,0,0,1.2,1.4,53.8,126.6,2.6,835,1017366,91
2,1,207,12,12,0.4,0.4,24104,7829,0,0,0,0,0,0,0,33.93,39.52,1,8585,1862052,98
46,66,2118,90,116,0.4,0.4,4054,20486,0,0,0,0,0.2,0,0,42.6,39.6,2.2,540,1724573,93
1,0,544,55,62,0.2,0.2,1943,19308,0,0,0,0,0.2,0.4,0.4,20.2,18.6,400,97,3,0
1,1,2068,199,138,0.4,1.6,139395,52225,1.4,1.6,1.6,0,0.6,61.88,63.67,158.68,181.24,1,321,1019960,86
14,0,4719,495,282,4.2,5.8,437927,35992,1.6,2.4,2.4,0,9.4,16.4,20.4,213.4,385.8,2.8,294,1048386,74
184,203,2908,312,123,0.4,1.6,1006792,24241,0.4,0.4,0.4,0,0.2,3.8,6.6,19.6,51.8,4,200,1110408,89
1,0,468,39,29,0.8,2.4,84829,9977,0,0,0,0,0.2,0.2,0.2,47.2,75.4,1.2,1272,1760781,96
51,69,1064,142,118,0.4,0.2,5288,24594,0,0,0,0,0,0.4,0.4,31.06,52.71,2.8,1752,969454,93
33,40,1648,103,76,1,1.8,361149,68942,0,0,0,0,0,5.6,5.6,70,113.4,2.8,5148,1674381,91
1,1,196,16,22,0.2,0.2,11917,14682,0,0,0,0,0,0.8,1.6,15.6,16.8,1,7728,1882194,98
2,0,756,84,13,1.4,1.6,188486,9167,0,0,0,0,0,0,0,110.8,166.4,1.4,7618,1878770,95
10,5,1711,175,137,1.39,3.76,30699,34177,2.97,2.97,2.77,0,1.39,7.13,7.33,67.52,148.51,1.8,246,1042893,89
0,0,1181,67,66,0.2,0.2,39602,77617,11.2,17,17,0,1.8,5,9,17.8,33.6,1.8,306,1118776,91
0,0,272,59,20,0.2,0.2,7187,3939,0,0,0,0,0,0.2,0.2,15.6,17,1,3251,1847008,99
1,0,2875,153,109,0.4,0.6,16975,115588,0,0,0,0,0,1,2,31.8,34.6,2,4655,1731736,90
0,0,974,72,45,0.2,0.2,89310,13592,1.6,1.8,1.8,0,2.59,0.4,0.4,15.37,29.14,2.2,145,1007922,95
1,1,160,14,16,0.2,0.2,7007,8363,0,0,0,0,0,0,0,15.6,16.6,1,8496,1866056,98
12,6,2557,140,81,1.2,2,34223,30138,3.2,5.2,22,44.2,1,1.2,1.2,121.8,228.4,1,193,967147,86
0,0,562,62,51,0.2,0.2,81921,98078,4.2,5.2,4.6,0,0.6,5.2,8.8,13,24.8,2.2,311,1742392,89
3,1,6109,284,248,0.4,1.2,356163,354586,0,0,0,0,0,2,2,21.4,30.4,3,987,1376917,86
4,1,1150,86,39,2.2,7.8,394576,273556,0,0,0,0,0,0.6,0.6,108.2,149.8,3.2,5631,1836403,93
6,5,2042,107,79,0.6,0.6,54202,132182,2.19,4.17,4.17,0,3.98,2.98,5.37,52.49,76.54,2,275,982831,90
0,0,147,9,15,0.2,0.2,440,10300,0,0,0,0,0,0,0,15.6,16.8,1,8423,1867360,98
4,1,444,44,19,2.4,2.79,81225,19035,0,0,0,0,0,2,2.59,236.73,192.22,1,11399,1877732,88
2,0,376,35,15,2.2,2.2,62864,13634,0,0,0,0,0,2.4,3.59,194.41,172.46,1.2,6331,1845095,90
2,1,776,59,45,0.4,0.4,26350,18057,0,0,0,0,0,0,0,36.2,44.2,2,771,1041283,96
53,55,5853,192,134,2.58,9.74,148495,241613,3.78,3.78,3.78,0,3.98,0.99,1.19,304.77,269.58,4.2,252,1510335,73
12,2,3388,463,387,5.8,2,309278,98064,28.6,68.6,101,135.6,0,14.8,27,338.8,578.8,2,356,953130,71
14,9,3448,370,261,2,2,221717,150820,5.8,14.6,37.8,74.8,3.8,5.2,16.6,130.6,235.6,2.2,158,1026549,82
95,120,3749,281,194,1.4,1.2,90976,15722,0,0,0,0,0.4,11,11,68.8,225.6,6.4,1428,1307952,86
1,0,1084,91,63,0.2,0.2,11951,22614,0,0,0,0,0,1.4,1.8,32.6,25.2,3,622,1016328,95
37,7,1889,126,126,0.6,0.6,27811,96695,5.6,46.2,104.2,287.4,1.8,25.8,41.2,62.8,217.4,2,238,1064165,88
42,47,1476,172,103,2.8,2.8,212873,30993,0,0,0,0,0,1.4,2.4,172.4,256,3.2,1426,1070854,86
81,80,1086,134,81,0.4,0.4,209409,50764,3.6,13.2,18.6,18.2,1.6,2,2.2,35.4,102.8,1.7,129,991770,92
7,2,2342,125,74,2.2,4.2,294081,71960,10.6,52.4,111.6,152.2,1,70,75.8,146.4,293.2,1,175,1058875,85
1,0,645,120,69,0.4,0.6,301469,183147,0,0,0,0,0.6,2,3.8,37.2,56,3.4,1092,1728875,94
3,2,1388,68,49,0.2,0.2,203366,60254,0,0,0,0,0,5.4,5.4,16,25.4,2.4,5245,1675056,96
56,59,5526,776,598,6.2,1.6,361328,220236,3.8,4.2,4.2,0,0.4,3.2,5.4,294.8,454,6.2,292,1545926,72
1,0,3294,271,172,1,2.6,569257,296604,4,5.6,5.6,0,2.4,17.6,20,90.8,222.6,1.6,369,1017470,85
1,1,214,17,30,0.2,0.2,7359,29992,0,0,0,0,0,0,0,15.63,17.84,1.2,7309,1869372,97
6,0,3816,367,232,4.2,3.4,680520,121189,0,0,0,0,0,22.6,24.2,177,317.8,3.6,1305,1043736,81
0,0,168,12,14,0.2,0.2,1081,10287,0,0,0,0,0,0,0,17,16.8,1,8307,1863622,97
145,3,4928,178,118,0.6,1.2,8260,38748,0,0,0,0,0,63.2,63.4,49.2,61,2.6,537,1517352,86
0,0,220,32,14,0.2,0.2,127427,7746,0,0,0,0,0,0,0,15.6,18,1.2,8542,1864168,98
8,7,1658,141,80,0.6,1,147920,20071,0.2,0.2,0.2,0,1,28.6,29.2,49.2,204.4,3,557,996139,88
1,0,5200,429,398,1.2,2.8,46306,29547,3.8,11.2,29,56.6,0,2.2,3,79.4,170.4,1.5,132,1015242,84
21,1,5989,673,474,7.58,3.79,505990,66850,0,0,0,0,0,2.4,2.59,381.24,559.08,6.8,809,1526997,70
6,6,2945,327,214,0.4,0.4,262196,54753,4.8,8.2,14.6,21.2,6,3.4,5.4,32,65.2,1,135,966686,87
21,14,2023,154,106,6.2,17.2,54172,31468,0,0,0,0,0,15.8,17.6,231.8,455.8,2.7,660,1101168,76
7,3,3030,238,120,1.4,1.4,261528,35193,0,0,0,0,0,3.6,13.2,111.2,217.4,1,1746,1091978,85
26,38,396,80,26,0.6,0.6,414176,17481,0,0,0,0,0,0,0,40.8,44.8,1.2,912,1762022,94
8,2,4094,314,202,2.2,2.81,399035,67149,2.2,8.62,28.46,63.13,2.61,17.84,34.27,185.57,288.38,1.6,298,997220,77
23,30,176,11,21,0.2,0.2,8633,3581,0,0,0,0,0,0,0,15.6,16.8,1,6459,1871616,98
6,5,367,72,62,0.4,0.4,2927,13606,2.6,2.6,2.6,0,0.2,0,0,35,34,1,137,1753517,97
8,1,2327,347,318,6.99,2,183514,21399,0,0,0,0,0,0,0,337.13,487.23,2.8,6117,1852802,80
9,1,3468,339,138,0.6,2,82704,26937,1.8,2,2,0,1,4.39,8.18,40.72,50.3,1,196,991962,90
30,23,6777,316,194,6.01,8.42,224570,66141,10.02,18.04,33.87,57.52,7.82,7.41,10.02,264.73,698.2,2.3,192,1012991,66
20,9,1834,261,258,4.4,1.4,137547,45286,0,0,0,0,0,0.2,0.4,213.8,358.2,4.4,6190,1709211,86
2,0,451,41,43,2,2,67254,46721,0,0,0,0,0,1.6,1.8,176.55,154.71,1,11991,1892471,88
5,1,2598,182,69,0.6,1.2,756698,13776,0,0,0,0,0,0.4,0.8,64.6,84.2,2.8,2569,1702059,91
78,94,3863,148,123,11.22,32.26,74522,27955,0,0,0,0,0,4.41,7.41,368.74,733.47,1.3,530,1095466,66
5,4,1874,122,91,0.2,0.2,99524,39946,0.4,0.4,0.4,0,0,3.6,5,24.2,37.8,2,428,987506,92
11,2,4396,232,298,0.8,5.98,416339,513414,3.98,4.58,4.58,0,7.57,13.15,13.75,30.68,163.94,3.4,227,1003385,78
82,92,4279,338,271,1.6,2.4,138155,38109,11.8,22.6,22.6,0,0.8,18.2,31.8,170.8,226.8,1,368,1011166,76
1,0,3548,436,166,0.4,0.2,499823,82427,5,9.4,9.4,0,17.8,11,11,12.8,125.4,4.6,327,976682,90
2,0,2157,123,84,0.4,0.6,88150,5522,0,0,0,0,0,14.8,29.6,37,62.6,3.8,6643,1411531,96
2,0,504,52,68,1.8,2,116953,143309,0,0,0,0,0,0.8,0.8,160.08,146.51,1.6,5885,1845479,87
0,0,1220,61,96,0.2,0.2,17422,107652,0,0,0,0,0,1,1.8,15.6,17,1.6,4371,1782864,90
104,135,2591,158,102,0.8,0.8,47110,43166,0,0,0,0,0,5.6,9.4,73.4,74.2,1,496,1028866,89
3,1,477,49,47,2,2,103752,45064,0,0,0,0,0,2.2,2.2,195.4,162.6,2,11204,1874557,87
141,62,3383,364,233,0.8,2,464991,232759,3.6,3.6,7.6,12.2,5.6,17,19.6,47.2,99.6,1.7,353,1038570,86
64,5,2696,317,365,6.81,4.01,226884,117404,9.02,28.66,93.79,206.41,1.2,57.11,96.59,335.87,606.01,1.8,141,1043352,72
3,0,551,131,44,0.6,0.6,33213,18076,7,11.8,11.8,0,2.2,1.6,2.6,45.2,52.6,2,528,1749958,90
30,7,1015,79,67,0.6,2.2,43567,18853,13.17,27.54,36.33,23.95,0,27.94,44.11,96.81,132.34,1,265,983173,92
1,0,993,82,88,0.2,0.2,4533,23992,0.4,0.4,1.8,3.41,0.4,0.8,0.8,17.23,23.65,2,132,1066410,97
0,0,142,9,18,0.2,0.2,423,3675,0,0,0,0,0,0,0,15.6,16.8,1,6459,1871616,99
13,0,8309,1407,519,10.8,14.2,2214883,95033,1,1.4,1.4,0,1.4,14.2,22,477.8,831.2,3.5,279,1093539,54
5,0,1649,554,19,3.61,5.01,206447,4026,0,0,0,0,0,10.82,20.84,236.07,342.28,1.6,8589,1870285,89
1,1,313,66,41,0.2,0.2,291336,266985,0,0,0,0,0,2.4,4.8,16,16.8,2.4,4121,1827112,92
19,0,4181,302,162,4.79,13.37,492647,33582,1.8,9.18,26.15,51.7,2.4,2.99,4.39,180.44,333.73,3.4,156,1086548,76
3,1,1693,208,124,0.4,1.6,26945,36802,0,0,0,0,0,20.36,22.75,15.97,99.4,3.3,469,1105220,91
2,0,2735,330,174,1.2,3.99,293121,31777,0,0,0,0,0.4,60.88,66.67,197.21,277.05,2,368,1097134,86
11,1,1562,193,68,1.8,2.6,241653,145933,0,0,0,0,0,7,7,153.4,209.4,4.6,2542,1574757,92
29,37,3472,248,137,0.2,0.2,207334,206626,0,0,0,0,0,4,4,15.4,60.6,3.6,3326,1346128,94
5,3,3694,611,520,2.4,2.2,723819,282690,2,2,2,0,0.8,52.91,103.61,111.82,234.87,2,502,1132314,76
5,0,2709,297,116,3.6,4.8,263524,34694,2.4,7.2,16,27,2.2,8.2,11.2,209.8,332.2,2.4,151,1105862,86
0,0,185,16,16,0.2,0.2,1044,2335,0,0,0,0,0,0,0,16,23.4,2,9887,1870296,97
13,18,140,7,12,0.2,0.2,422,9648,0,0,0,0,0,0,0,15.6,16.8,1,7260,1875328,98
1,1,419,164,44,0.8,0.6,254313,229754,0,0,0,0,0,9.8,10.8,40.8,44.8,3.2,6884,1836338,96
1,0,2647,330,336,0.4,0.4,149828,80133,0,0,0,0,0,16.6,31.8,48.6,68,2.6,1659,1709059,85
1,0,769,99,67,0.8,1,96293,14271,1,1,1,0,0.4,6.4,6.4,64.8,122.4,1,272,1023098,94
19,25,197,15,18,0.2,0.2,7457,4595,0,0,0,0,0,0,0,15.6,17,1.2,7548,1870232,97
0,0,161,14,20,0.2,0.2,446,12219,0,0,0,0,0,0,0,15.6,16.8,1,7410,1865584,98
8,2,3014,245,288,2,0.6,64641,482422,0,0,0,0,0,0.4,0.4,106,201.2,2.6,434,1016594,83
2,0,1322,109,71,0.6,0.6,166893,128089,0,0,0,0,0,1.8,1.8,45.11,84.03,1.8,2368,1007775,92
0,0,201,31,29,0.2,0.2,644,7749,2.4,2.4,2.4,0,0,0,0,15.57,16.77,1,288,1752346,98
18,7,2276,170,135,2.79,2.79,136153,140940,0,0,0,0,0,0.6,0.6,147.31,202.2,2.2,643,1537186,87
3,1,6994,554,242,1.2,1.6,1060802,495513,6.99,19.96,49.1,103.19,0.8,15.17,15.17,78.64,265.67,3.2,130,1008538,72
12,7,2366,160,110,0.6,1.8,387104,88446,0,0,0,0,0,13.2,22.4,34.8,73.2,4.6,10137,1373203,87
16,14,630,39,42,0.2,0.2,3971,6865,0,0,0,0,0,0,0,24.6,19.2,2.2,5613,1683274,98
1,0,258,35,16,0.2,0.2,186209,43337,0,0,0,0,0,8.98,8.98,17.76,45.31,1.2,7052,1851499,97
4,1,1310,114,123,1,0.6,22851,96155,0,0,0,0,0,0.6,0.6,93.8,116.4,3.5,611,1059350,93
1,0,3483,294,283,0.8,2.6,621569,553056,18.8,70.8,183.6,384.6,6,44.8,83.2,41.8,75.2,6.2,132,994390,76
20,26,863,70,44,0.2,0.2,1864,14232,0,0,0,0,0,0.2,0.2,15.6,17,1.6,994,1761544,91
15,3,4027,274,158,11.6,33.6,295178,43767,0.2,0.2,0.2,0,0,23.8,31.6,402.4,817.4,1,582,1092362,60
21,3,3030,287,241,5.2,2,109422,9208,0,0,0,0,0,10.4,19.6,227.4,371.8,3.6,2498,1407235,83
9,3,2374,164,141,1,2.4,14453,122037,2.2,2.4,2.4,0,1,20.8,21.2,56.8,127.4,1.5,301,1061539,91
3,1,1002,86,108,0.6,1.6,50946,131296,0,0,0,0,0,0.2,0.2,37.8,66.8,2.8,940,1540130,94
12,17,1140,54,45,0.2,0.2,89639,38819,0,0,0,0,0,11.8,22.6,22.8,19.2,1,567,1752966,91
13,7,1521,198,189,2.99,3.79,192593,211442,15.77,63.67,127.35,235.73,2,18.56,27.54,126.95,354.89,4.4,138,1048398,79
0,0,3592,265,121,0.2,0.2,9519,22662,3.8,4.2,4.2,0,0,0.2,0.2,15.8,31.6,4.4,244,1104192,90
1,0,1745,99,62,0.6,0.6,172724,9196,0,0,0,0,0,0,0,32.2,37.8,2.6,779,1750693,88
2,1,310,43,39,0.8,0.8,29399,9719,0,0,0,0,0,0.2,0.2,51.4,69.6,1,6808,1841216,96
5,5,691,72,53,0.2,0.2,5917,23539,0,0,0,0,0,17.56,17.56,15.77,65.87,2,575,967896,96
5,3,4180,409,294,0.2,0.2,41553,69632,0,0,0,0,0,4.19,5.39,22.36,37.72,2.8,545,1093344,87
7,0,1261,75,29,3.6,4,130020,29856,0,0,0,0,0,6.4,9.4,321,331.6,3,1926,1804962,80
11,2,1489,108,85,0.8,1.4,27042,23640,5,8,18.6,33,1.2,8.2,12.2,61.4,98.2,1.4,146,1066688,92
26,22,2971,337,273,2.4,1.8,286522,60223,3.4,4.6,6.4,5.8,4,3.2,3.8,125.6,253,1,175,963154,87
42,64,2453,423,669,1.4,2.2,474034,140393,0,0,0,0,0,8.4,16.8,128,187.8,2.6,2592,1733226,82
1,0,1550,212,190,0.6,2.2,79081,70944,0,0,0,0,0.2,6.8,6.8,50.8,84.2,3.2,611,1050608,92
1,0,2629,394,278,1,3.8,95204,324792,0.2,0.2,0.2,0,0,5.8,11,66.8,113,2.4,174,1375040,87
6,1,3844,433,228,0.97,2.7,119325,117400,0,0,0,0,0,1.74,1.74,128.38,129.34,2.8,608,1486673,87
62,19,5210,820,696,1.2,2.8,361705,40816,0,0,0,0,0,3.8,5.8,71.8,253.4,3.6,657,1399072,76
19,15,934,96,78,1.6,1.4,69777,88143,13.8,19.2,19.2,0,8,28.4,41.4,70.6,156.6,1,265,991232,89
2,0,4574,265,160,0.6,0.6,152091,30401,1.6,4.8,9.8,26.6,1.6,0.6,0.6,38.2,61.8,2,166,1057317,87
3,0,3496,315,151,1.8,3.6,459199,61862,0,0,0,0,0.2,14.4,24.6,160,272.6,3.2,397,1017672,82
6,4,704,53,55,0.2,0.2,33847,36582,0,0,0,0,0,1.4,1.4,18.6,25,2,4818,1672818,96
0,0,279,31,30,0.2,0.2,109280,34524,0,0,0,0,0,1.8,1.8,15.03,17.64,1.4,2039,1770862,91
7,1,776,70,47,0.4,0.4,13890,20383,1.2,1.2,1.2,0,0.2,7.21,13.03,42.69,78.76,1,244,1017748,97
3,0,2691,128,81,0.8,2.2,14234,27960,0,0,0,0,0,3.6,3.6,48.6,104.6,1,636,1020024,91
31,40,2928,271,213,3.8,3,89408,46791,1.8,1.8,1.8,0,0.4,2.6,2.8,192.2,274.6,1.4,179,1124382,84
65,23,4564,199,122,2.4,7.78,495455,54727,10.58,64.07,91.02,114.57,4.79,51.5,85.23,202.4,352.1,4.4,154,1316873,71
3,2,1974,309,196,0.6,2,7450,26728,1.4,1.4,1.4,0,0.8,1.2,1.4,34,106.8,2.5,207,1100702,90
47,0,2824,150,111,12,35,85212,42485,0.4,0.4,0.4,0,0.8,9.4,9.4,378,736,3.2,198,1096288,65
0,0,166,10,14,0.2,0.2,425,9930,0,0,0,0,0,0,0,15.6,16.8,1,7202,1874064,98
8,0,1582,117,71,5.37,10.74,77856,17189,3.78,16.1,33.2,59.44,0.8,23.26,31.21,303.98,552.68,2.4,166,1057544,81
3,0,900,198,139,1.6,0.6,249554,1469273,0,0,0,0,0,21.6,42,85.6,117.2,1.6,5028,1828024,78
2,0,360,69,71,0.4,0.6,36089,49991,0,0,0,0,0,0,0,33.2,34.4,2,6371,1711587,97
6,4,1532,130,55,0.6,1,228855,43159,0.4,0.6,0.6,0,0.4,0.4,0.4,54,114.4,323,93,7,0
37,7,4774,232,157,4.4,6.2,522823,107871,3.6,5.4,5.2,0,1,10.6,18.8,342.4,461.8,4.8,377,1527138,69
13,6,2845,225,119,5,6.6,343010,48285,0,0,0,0,2,4.8,8,226.2,391.8,2.2,526,1007958,76
14,4,3441,404,348,6.4,2,194491,41018,3.8,6.6,13.4,19.2,1,2,4,329,471.2,3.6,187,1710275,81
4,0,4017,268,190,0.6,1.8,449731,221130,0,0,0,0,0,32.2,46.8,42.6,101.8,4.6,813,1318486,89
2,0,2988,191,151,1,2.6,30668,22032,0,0,0,0,0,1.6,1.6,77,109.2,5.6,449,1062632,88
4,3,4345,352,222,1,2.4,471573,148396,0,0,0,0,0.8,5.6,6.4,57.6,251.4,1,551,1007046,81
8,1,2340,221,99,5.99,7.39,282634,28684,4.39,17.96,47.5,89.62,3.39,15.97,17.56,321.56,595.81,3.2,127,1036955,75
5,4,1923,280,224,0.8,1.2,12283,21171,0,0,0,0,8.6,14,22.4,77.6,190.2,1,1059,969250,89
5,4,1098,189,292,0.4,1.8,21978,751823,0,0,0,0,0,0.4,0.4,33.2,53,1,634,960042,90
2,0,1125,250,134,2.4,1.4,300388,210751,0,0,0,0,0,1.8,2.8,131.6,192.2,3.4,622,1740842,90
