STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/28/2000,20.8,854,854,0,0,6,16,22,9,,300,300,0.4,32,38,,,,,,1,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/29/2000,10.96,828,1341,0,0,5,25,33,16,,320,330,0.4,17.9,21.9,,,,,,1,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/30/2000,6.04,2307,2316,0.46,0.2,5,27,38,16,,90,90,0.4,28,34,1,,,1,,1,,,,,1,,,1,1,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,1/31/2000,17.9,1402,1616,0.1,0,4,35,42,28,,250,250,1.8,30,34,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/1/2000,17.45,2029,2212,0,0,3,31,35,26,,250,270,1.9,23,28,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/2/2000,22.37,22,33,0,0,2,26,29,22,,290,290,1.3,32,40.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/3/2000,8.05,310,309,0.08,1.1,2,27,32,21,,300,300,1,21,25.1,1,,,,,,,,,,1,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/4/2000,4.7,829,828,0.01,0.1,3,29,31,27,,60,60,0.8,14.1,16.1,1,,,,,,,,,,1,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/5/2000,14.32,818,1637,0,0,2,31,35,27,,310,260,0,23.9,28,1,,,,,,,,,,1,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/6/2000,17,717,716,0,0,1,33,37,28,,290,270,0,29.1,36,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/7/2000,18.34,1436,1516,0,0,1,36,44,28,,290,290,0,29.1,34,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/8/2000,9.84,2325,36,0,0,0,25,29,20,,210,360,0,19.9,23.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/9/2000,10.29,2359,2359,0,0,0,35,45,24,,210,220,0,19.9,21.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/10/2000,8.5,1043,1024,0,0,0,40,50,29,,70,50,0,15,17,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/11/2000,12.97,2122,2058,0,0,0,40,50,30,,310,300,0,32,36.9,1,1,,,,,,1,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/12/2000,8.28,209,209,0,0,0,28,32,24,,320,320,0,28,30,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/13/2000,7.38,1408,1424,0.2,0,0,30,39,21,,120,130,0,14.1,16.1,1,,,,,,,,,,1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/14/2000,13.2,1000,959,0.39,0,0,45,50,39,,180,170,0,38,44.1,1,1,,,,,,,,,1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/15/2000,17,354,355,0,0,0,37,44,29,,310,300,0,33.1,40,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/16/2000,12.3,2143,2020,0,0,0,40,51,28,,310,310,0,29.1,33.1,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/17/2000,14.54,333,332,0,0,0,33,40,26,,310,310,0,33.1,38,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/18/2000,11.41,1645,1643,0.83,2.1,0,32,37,27,,60,60,0,21.9,25.9,1,,,1,,1,,,,,1,,1,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/19/2000,9.17,331,331,0.25,0,0,31,32,30,,100,100,0,16.1,19.9,1,,,,,1,,,,,1,,1,1,1,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/20/2000,14.54,1418,1141,0,0,0,35,40,30,,280,290,0,23,29.1,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/21/2000,10.74,134,134,0,0,0,37,43,30,,290,300,0,17.9,21.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/22/2000,8.28,1523,1638,0,0,0,37,45,29,,160,170,0,15,16.1,1,,,,,,,1,,,1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/23/2000,5.82,1519,1518,0,0,0,40,51,29,,180,180,0,13,15,1,,,,,,,,,,1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/24/2000,5.37,1227,1243,0,0,0,47,56,38,,180,180,0,11,13,1,,,,,,,,,,1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/25/2000,10.29,2145,1901,0.1,0,0,46,52,39,,40,50,0,21,25.9,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/26/2000,11.41,254,417,0.01,0,0,41,43,38,,40,40,0,21,23,1,,,,,,,,,,1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/27/2000,8.72,2211,2154,0.02,0,0,45,50,39,,170,170,0,28,33.1,1,1,,,,,,,,,1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/28/2000,20.58,1910,1909,0.07,0,0,46,52,40,,330,320,0,33.1,40,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,2/29/2000,17,257,256,0,0,0,46,57,35,,300,310,0,29.1,33.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/1/2000,6.71,1605,1600,0,0,0,40,45,34,,120,120,0,15,17,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/2/2000,18.57,1456,1455,0,0,0,43,49,36,,310,310,0,36,46.1,,,,,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/3/2000,23.26,1536,1421,0,0,0,41,48,34,,320,310,0,33.1,40,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/4/2000,14.76,2359,2359,0,0,0,43,53,32,,310,320,0,23,28,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/5/2000,15.66,1928,1616,0,0,0,48,57,38,,330,360,0,28,36,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/6/2000,14.32,1241,1240,0,0,0,47,55,39,,330,320,0,25.1,31.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/7/2000,7.38,1144,1209,0,0,0,46,59,32,,230,230,0,19.9,21,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/8/2000,7.16,1636,1639,0,0,0,50,59,40,,100,110,0,17.9,21,,,1,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/9/2000,6.26,2056,2056,0,0,0,55,64,46,,290,300,0,17,21.9,1,1,,,,,,1,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/10/2000,12.75,254,253,0,0,0,52,61,42,,310,310,0,23.9,30,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/11/2000,14.76,1425,1404,1.73,0,0,42,44,40,,60,70,0,25.1,32,1,,1,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/12/2000,15.21,1840,1836,0.23,0,0,44,53,35,,300,300,0,32,40,1,,,,,,,,,,1,1,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/13/2000,11.41,1030,1029,0,0,0,40,48,32,,310,320,0,25.1,29.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/14/2000,13.87,2024,2023,0,0,0,42,49,35,,190,190,0,25.1,30,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/15/2000,14.09,1706,1705,0,0,0,46,54,37,,180,180,0,33.1,36.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/16/2000,9.17,1941,1938,0.67,0,0,52,61,42,,170,170,0,19.9,23,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/17/2000,19.46,1555,1325,0.58,0.7,0,40,52,28,,340,350,0,32,38,1,,,,,,,,,,1,,,1,,1,,,1,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/18/2000,11.63,129,129,0,0,0,30,37,22,,350,350,0,32,40,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/19/2000,7.16,1305,1418,0,0,0,33,39,27,,120,130,0,15,17,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/20/2000,12.53,2329,2322,0,0,0,39,46,32,,60,50,0,21,28,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/21/2000,17.67,2311,1921,0,0,0,41,44,38,,60,60,0,28,33.1,1,,,,,,,,,,1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/22/2000,14.54,206,205,0,0,0,43,49,37,,50,60,0,29.1,33.1,1,,,,,,,,,,1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/23/2000,5.59,1304,1305,0,0,0,41,48,33,,180,170,0,13,14.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/24/2000,8.95,853,834,0,0,0,53,65,41,,360,360,0,17,21,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/25/2000,12.3,1517,1525,0.04,0,0,48,54,41,,170,170,0,28,32,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/26/2000,13.2,1712,1601,0.01,0,0,56,65,47,,290,300,0,23,29.1,1,,1,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/27/2000,14.76,2343,2343,0.01,0,0,46,55,36,,120,120,0,25.9,34,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/28/2000,18.12,1144,1141,0.86,0,0,53,58,47,,250,220,0,32,36.9,1,,1,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/29/2000,21.03,1557,1556,0.01,0,0,51,57,44,,260,270,0,36.9,44.1,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/30/2000,12.53,2045,2045,0,0,0,48,56,40,,350,360,0,21.9,25.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,3/31/2000,10.29,1515,1414,0,0,0,48,58,37,,330,300,0,21,29.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/1/2000,10.29,1706,1706,0,0,0,48,58,37,,180,180,0,21.9,25.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/2/2000,13.2,1630,1641,0,0,0,51,58,44,,180,170,0,23,25.9,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/3/2000,7.38,2333,2336,0,0,0,53,57,49,,170,170,0,19.9,23,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/4/2000,19.46,358,358,0.11,0,0,55,59,50,,180,180,0,29.1,34,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/5/2000,19.46,1240,1239,0,0,0,46,50,41,,270,270,0,29.1,36,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/6/2000,13.42,2014,2014,0,0,0,53,68,38,,320,310,0,28,31.1,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/7/2000,11.86,2320,2253,0,0,0,55,59,50,,110,110,0,19.9,25.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/8/2000,19.69,1439,1409,0.01,0,0,54,60,48,,160,160,0,34,42.9,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/9/2000,21.7,814,1341,0.47,1.5,0,40,50,30,,300,270,0,36,42.9,1,,,1,,,,,,,1,,,1,,1,,,1,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/10/2000,15.66,21,1417,0,0,0,46,55,37,,260,260,0,25.1,31.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/11/2000,8.72,1245,1242,0.08,0,0,42,48,36,,80,70,0,16.1,19.9,1,,,,,,,,,,1,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/12/2000,17.67,1452,1452,0.02,0,0,46,52,40,,300,300,0,31.1,36,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/13/2000,12.08,940,939,0,0,0,42,48,36,,20,30,0,17.9,21.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/14/2000,8.28,1531,1518,0,0,0,43,50,36,,150,140,0,15,17,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/15/2000,4.25,2024,2021,0.5,0,0,52,59,44,,170,180,0,15,17.9,1,,,,,,,,,,1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/16/2000,8.72,2207,2216,0.43,0,0,63,73,53,,20,20,0,19.9,23,1,,1,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/17/2000,14.99,2017,1524,0.33,0,0,47,54,40,,60,80,0,23.9,30,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/18/2000,19.69,1506,1505,0.02,0,0,44,48,40,,50,40,0,32,40.9,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/19/2000,14.76,732,1327,0,0,0,51,59,42,,20,30,0,21.9,28,1,,,,,,,,,,1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/20/2000,7.83,1317,1302,0,0,0,51,54,47,,180,210,0,14.1,16.1,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/21/2000,17.9,1207,1206,2.02,0,0,47,48,46,,100,90,0,30,38.9,1,,1,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/22/2000,12.97,17,42,0,0,0,48,50,45,,30,50,0,23,25.9,1,,,,,,,,,,1,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/23/2000,15.88,1554,1616,0.01,0,0,47,50,44,,300,300,0,25.1,29.1,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/24/2000,12.75,1328,1326,0,0,0,57,69,44,,310,310,0,23.9,30,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/25/2000,13.65,1613,1612,0,0,0,51,55,46,,90,90,0,21.9,25.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/26/2000,13.87,832,128,0.01,0,0,43,47,39,,20,40,0,23,29.1,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/27/2000,9.17,1435,1445,0,0,0,44,49,38,,170,180,0,17,17.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/28/2000,8.72,1424,1423,0,0,0,50,56,44,,190,180,0,17.9,21,1,,,,,,,,,,1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/29/2000,9.4,1219,943,0,0,0,54,66,41,,40,70,0,19.9,25.9,1,,,,,,,,,,1,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,4/30/2000,16.11,1536,1545,0,0,0,56,65,47,,310,310,0,30,36.9,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,5/1/2000,11.41,1728,1415,0.02,0,0,49,57,40,,170,150,0,25.1,33.1,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,5/2/2000,10.74,1242,1204,0.08,0,0,60,67,52,,360,360,0,25.9,33.1,1,,,,,,,,,,1,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,3.4,5/3/2000,10.74,837,855,0,0,0,55,62,47,,110,110,0,19.9,21.9,,,,,,,,,,,,,,,,,,,,
